steps,distance
0,0.033301
800,0.053938
1600,0.083477
2400,0.112896
3200,0.136267
4000,0.165333
4800,0.188687
5600,0.212645
6400,0.240398
7200,0.266202
8000,0.293542
8800,0.314912
9600,0.342027
10400,0.371446
11200,0.389106
12000,0.41743
12800,0.441896
13600,0.465276
14400,0.495161
15200,0.524709
16000,0.542335
16800,0.558304
17600,0.583357
18400,0.621214
19200,0.627115
18400,0.6005
17600,0.587671
16800,0.562833
16000,0.550902
15200,0.516876
14400,0.490563
13600,0.468486
12800,0.441776
12000,0.41397
11200,0.388252
10400,0.365778
9600,0.349024
8800,0.32121
8000,0.281179
7200,0.261673
6400,0.235136
5600,0.20513
4800,0.182035
4000,0.157447
3200,0.132506
2400,0.103199
1600,0.074531
800,0.044896
0,0.030687
